timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-09 13:36:40+00:00,"Arinaga, Grand Canaria ",b'What a complete and utterly brainwashed \xf0\x9f\x94\x94\xf0\x9f\x94\x9a this guy is\xf0\x9f\x91\x87. Honest to god these remaintards really are the most anti British wankers on social media but he\xe2\x80\x99s got 30k plus followers. That\xe2\x80\x99s about how many can\xe2\x80\x99t accept we\xe2\x80\x99ve left the EU and shout shite all day on social media. https://t.co/0PS0vYTD31',b'LorenzoBrauer',[],254
2022-01-09 13:36:39+00:00,Amsterdam,"b'@joelbasson @RonSmallenburg However, the Netherlands shouldn\xe2\x80\x99t take this lead for granted. AEX heavy constituents leaving isn\xe2\x80\x99t a good indicator that there\xe2\x80\x99s now more space for ASML and Adyen, it\xe2\x80\x99s just that the old giants are gone outside of EU.'",b'LucToren',[],385
2022-01-09 13:36:38+00:00,The great north.,b'@Dominic_Simpson @AND1959REW @trisdouglas @Rob_Kimbell Fairly correct. Glad someone finally admits the EU put up trade barriers with the UK.',b'FenwickProperty',[],21
2022-01-09 13:36:38+00:00,NYC/AMS,b'Hello America I am coming home  https://t.co/60wjc1AGxZ',b'alyssaneilson',[],2656
2022-01-09 13:36:35+00:00,"iPhone: -0.686629,73.141479","b'@MartijnTonies @FrenskeLinker @op1npo \xe2\x80\x9cOn July 21, the CDC announced it would withdraw the request for an emergency use authorization for the agency-developed PCR test after Dec. 31.\xe2\x80\x9d  https://t.co/jSIMQTtVqs'",b'ElMerrick33',[],1033
2022-01-09 13:36:35+00:00,,"b""@EU_Commission Re: Mps to elect President Proposal\xf0\x9f\x87\xba\xf0\x9f\x87\xac  What kind of nonsense? The army will eventually vote the Mps as usual! @KagutaMuseveni stop hiding, just come out &amp; declare yourself LIFE PRESIDENT! Ugandans aren't fools! #RiseUpUg #M7MustGo #UgandaIsBleeding @Parliament_Ug @POTUS @cnni @UN""",b'DocusNisiima',"['RiseUpUg', 'M7MustGo', 'UgandaIsBleeding']",36
2022-01-09 13:36:34+00:00,,"b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc \xe2\x80\x98Eurojust said the establishment of a joint French and Swedish team would be of ""added value"" to other EU member states or third countries, ""who want to end the impunity of  foreign fighters involved in core international crimes [\xe2\x80\xa6] against members of the Yazidi community"".\xe2\x80\x99'",b'hebe_willems',[],40
2022-01-09 13:36:34+00:00,she/they â€¢ 21,b'@GenshinUpdate My Server:eu My Adventure Rank:55 My first 5\xe2\xad\x90\xef\xb8\x8f:albedo!! My last 5\xe2\xad\x90\xef\xb8\x8f:shenhe\xe2\x9d\xa3\xef\xb8\x8f My favourite character:albedo!! My favourite weapon:Amos bow \xe2\x9d\xa3\xef\xb8\x8f My favourite element:geo! And anemo My favourite region in Teyvat:lyue My favourite food: miso soup! My Seelie colour:pink!',b'itsmimsiee',[],201
2022-01-09 13:36:34+00:00,"Paisley, Scotland",b'See the stuff about Spain cutting VAT on fuel bills (in the EU etc)',b'chicgibson',[],2013
2022-01-09 13:36:33+00:00,United Kingdom,"b'""Border complexities"" (you\'ve guessed it folks, it\'s that Bloomin\' Brexit again!)  blamed for Fortnum &amp; Mason pausing EU deliveries. https://t.co/7Gb5uT3nga'",b'Silklink',[],3602
