timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-22 10:25:18+00:00,,"b""@UN @antonioguterres Friends Of The Dictator: stop funding the murderer @KagutaMuseveni at the expense of the lives of decent Ugandans. Stop funding him, b'se he's nothing left to offer. #RiseUpUg #Article3UG #WeAreRemovingADictator #FreeAllPoliticalPrisonersinUganda @POTUS @SecBlinken @GOVUK @UN @VP https://t.co/ntk45XDtbs""",b'MRusweti',"['RiseUpUg', 'Article3UG', 'WeAreRemovingADictator', 'FreeAllPoliticalPrisonersinUganda']",170
2022-01-22 10:25:17+00:00,,"b""@UN @antonioguterres @KagutaMuseveni's security agencies: must stop killing innocent Ugandans at night, then in the morning; masquerade as saviors Must watch: https://t.co/WmGSUnokHa #Article3UG #RiseupUg #WeAreRemovingADictator  @HouseForeign  @VP @coe  @POTUS  @SenateFloor  @HouseFloor  @SecBlinken""",b'SsembatyaAbudu2',"['Article3UG', 'RiseupUg', 'WeAreRemovingADictator']",154
2022-01-22 10:24:54+00:00,,"b'@StephenKing Uh-huh, Uh-huh. Tell me more, Steve.  \xe2\x80\x9cIf you have a problem figuring out whether you\xe2\x80\x99re for me or Trump ... then you ain\xe2\x80\x99t black,\xe2\x80\x9d - @POTUS  He was just being ""cavalier"" though, amirite?'",b'WTM969',[],55
2022-01-22 10:24:52+00:00,,"b""@UN @antonioguterres Dear American taxpayers, this is what the American government is funding in Uganda \xe2\xac\x87\xef\xb8\x8f https://t.co/pGgyrmYyCc  Uganda is better without your funds &amp; secretive agendas. Ugandans wish to inform your taxpayers that, you're killing us directly &amp; indirectly. @CIA @POTUS @TheEconomist""",b'Lovewabobiwine',[],381
2022-01-22 10:24:51+00:00,London ,b'American women deserve paid maternity leave. How is this even allowed ?!@POTUS @FLOTUS @AOC https://t.co/wdstB0765K',b'Maxsia3',[],510
2022-01-22 10:24:50+00:00,,"b""@UN @antonioguterres Re: Mps to elect President Proposal\xf0\x9f\x87\xba\xf0\x9f\x87\xac  What kind of nonsense? The army will eventually vote the Mps as usual! @KagutaMuseveni stop hiding, just come out &amp; declare yourself LIFE PRESIDENT! Ugandans aren't fools! #RiseUpUg #M7MustGo #UgandaIsBleeding @Parliament_Ug @POTUS @cnni @UN https://t.co/k1jYCMg1be""",b'SsembatyaAbudu2',"['RiseUpUg', 'M7MustGo', 'UgandaIsBleeding']",154
2022-01-22 10:24:46+00:00,,"b'@POTUS You can now destroy your monument, mr. president. Just since it won\xe2\x80\x99t serve any more good beyond your own interests.'",b'qadamara',[],19
2022-01-22 10:24:45+00:00,,b'@antonioguterres International Community stop giving #Uganda loans which only benefit the illegit president dictator @KagutaMuseveni to continue oppressing citizens&amp;commit atrocities&amp;crimes against humanity #UgandaIsBleeding @hrw @UN @G7 @Keir_Starmer @RoyalFamily @POTUS @EUinUG @usmissionuganda https://t.co/FWbaQ9C5Nl',b'AminahK39412326',"['Uganda', 'UgandaIsBleeding']",29
2022-01-22 10:24:41+00:00,,"b'@w0r1dpeace @alexvnews @VP We\xe2\x80\x99ve had 1 Presidential assassination &amp; 2 attempted ones in my lifetime. There\xe2\x80\x99s a reason POTUS/VP, senior officials &amp; federal judges have Secret Service protection. Stop trying to make it partisan. https://t.co/LKOxps0au2'",b'TashaCNS',[],2047
2022-01-22 10:24:37+00:00,,"b'@UN @antonioguterres Museveni must be arrested for his crimes against humanity in Uganda. @US, @UN &amp; @UK enough is enough with your undemocratic response in \xf0\x9f\x87\xba\xf0\x9f\x87\xac.  #RiseupUg #Article3Ug #WeAreRemovingaDictator @SenatorMenendez  @AsstSecStateAF  @POTUS @StateDept @SecBlinken @JoeBiden @vickyford'",b'Fredsekyo',"['RiseupUg', 'Article3Ug', 'WeAreRemovingaDictator']",663
2022-01-22 10:24:34+00:00,,b'@antonioguterres International Community stop giving #Uganda loans which only benefit the illegit president dictator @KagutaMuseveni to continue oppressing citizens&amp;commit atrocities&amp;crimes against humanity #UgandaIsBleeding @hrw @UN @G7 @Keir_Starmer @RoyalFamily @POTUS @EUinUG @usmissionuganda https://t.co/ZAwtu1voom',b'Scarlet98369078',"['Uganda', 'UgandaIsBleeding']",29
2022-01-22 10:24:33+00:00,,"b""@keithfife @SpeakerPelosi @POTUS Nuremberg code is only allowed when the bogey man goes for the Communists. Anyone else it doesn't apply""",b'Graphene_o2',[],0
2022-01-22 10:24:30+00:00,,b'@antonioguterres International Community stop giving #Uganda loans which only benefit the illegit president dictator @KagutaMuseveni to continue oppressing citizens&amp;commit atrocities&amp;crimes against humanity #UgandaIsBleeding @hrw @UN @G7 @Keir_Starmer @RoyalFamily @POTUS @EUinUG @usmissionuganda https://t.co/jT4WOcc2ge',b'AminahK39412326',"['Uganda', 'UgandaIsBleeding']",29
2022-01-22 10:24:28+00:00,,"b""@EUinUG @APacificiEU @usmissionuganda @BelgiumInUganda @DKinUganda @NLinUganda @SwedeninUG @IrlEmbUganda @massi_mazzanti @FrenchEmbassyUg @ADCinUganda Imagine Members of Parliament are in jail since August &amp; upto date who were framed for murders that Museveni's son ordered! Like other members &amp; LC's,many are nursing wounds of torture &amp; poison b'se of the regime. Eg.@HonSsegirinya #RiseupUg #Article3Ug @POTUS @vickyford @VP https://t.co/mbnc75rjZr""",b'Tinahwanupgheto',"['RiseupUg', 'Article3Ug']",42
2022-01-22 10:24:27+00:00,,"b""@UN @antonioguterres Friends Of The Dictator: stop funding the murderer @KagutaMuseveni at the expense of the lives of decent Ugandans. Stop funding him, b'se he's nothing left to offer. #RiseUpUg #Article3UG #WeAreRemovingADictator #FreeAllPoliticalPrisonersinUganda @POTUS @SecBlinken @GOVUK @UN @VP https://t.co/IFyLGy18Kj""",b'Lovewabobiwine',"['RiseUpUg', 'Article3UG', 'WeAreRemovingADictator', 'FreeAllPoliticalPrisonersinUganda']",381
2022-01-22 10:24:27+00:00,,"b""@VT6688 @NASA @POTUS I'm believe in #GHC to the moon!!!\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf  \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80 #GalaxyHeroes be the biggest community. #GalaxyHeroesX be the best #PlayToEarn #GameFi. #GalaxyHeroesCoin be the best #Metaverse project. @elonmusk""",b'cici092900',"['GHC', 'GalaxyHeroes', 'GalaxyHeroesX', 'PlayToEarn', 'GameFi', 'GalaxyHeroesCoin', 'Metaverse']",8
2022-01-22 10:24:26+00:00,"Hampton, England","b'@RedState Be careful what you think you might be wishing for but not really. @POTUS is doing as good a job as any person could do after the maelstrom created by the previous errm, President. @JimSitch https://t.co/UxD4KSWrr4'",b'JimSitch',[],1831
2022-01-22 10:24:22+00:00,"North Carolina, USA",b'@POTUS How do you lie so much about everything and get nothing right',b'EddieCo14309539',[],283
2022-01-22 10:24:09+00:00,,b'@antonioguterres International Community stop giving #Uganda loans which only benefit the illegit president dictator @KagutaMuseveni to continue oppressing citizens&amp;commit atrocities&amp;crimes against humanity #UgandaIsBleeding @hrw @UN @G7 @Keir_Starmer @RoyalFamily @POTUS @EUinUG @usmissionuganda https://t.co/IVV6e9xCb7',b'AminahK39412326',"['Uganda', 'UgandaIsBleeding']",29
2022-01-22 10:24:05+00:00,,b'@antonioguterres International Community stop giving #Uganda loans which only benefit the illegit president dictator @KagutaMuseveni to continue oppressing citizens&amp;commit atrocities&amp;crimes against humanity #UgandaIsBleeding @hrw @UN @G7 @Keir_Starmer @RoyalFamily @POTUS @EUinUG @usmissionuganda https://t.co/yC0ZSMKBRC',b'processbyproces',"['Uganda', 'UgandaIsBleeding']",22
2022-01-22 10:24:02+00:00,,"b""@UN @antonioguterres Friends Of The Dictator: stop funding the murderer @KagutaMuseveni at the expense of the lives of decent Ugandans. Stop funding him, b'se he's nothing left to offer. #RiseUpUg #Article3UG #WeAreRemovingADictator #FreeAllPoliticalPrisonersinUganda @POTUS @SecBlinken @GOVUK @UN @VP https://t.co/sE9eJXPlbZ""",b'najjing0',"['RiseUpUg', 'Article3UG', 'WeAreRemovingADictator', 'FreeAllPoliticalPrisonersinUganda']",355
